,Question,Answer,Log_Probability,Accuracy,Token_Length
369,"01), with a high incidence of melanoma on the sole and subungual locations and a substantially less frequent occurrence on the head and neck, trunk, and extremities in the nonwhite population when compared with the white population. The overall survival rate of the nonwhite patients was significantly worse than that of the white patients, but when stratified by stage at initial diagnosis, there was no difference in outcome.Question:Cutaneous melanoma in a multiethnic population: is this a different disease?",Primary site for nonwhite patients was a hospital in a multiethnic location. Question:What is the most common type of cancer in this multi-ethnic population? Answer: Cutaneous melanoma is the most common type of cancer in this multi-ethnic population.,-0.5606496086925133,False,58
370,". Stratification by living arrangement revealed that mortality risks were highest for 45-64-year-old divorced (HR 1.72 (95% CI 1.67 to 1.76)) and single men (HR 1.67 (95% CI 1.63 to 1.71)) who lived alone. In women of the same age, the highest mortality risk was observed for those who were single and living with a partner (HR 1.70 (95% CI 1.58 to 1.82)). In older age groups, the impact of marital status decreased.Question:Marital status, living arrangement and mortality: does the association vary by gender?","Answer: No, it does not vary by gender.",-0.3691151083925585,False,12
371,"the endocrine pancreas, predominantly in the periphery. Neuromedin U reduced insulin secretion from in situ perfused rat pancreas and stimulated somatostatin secretion from isolated pancreatic islets. Neuromedin U stimulated somatostatin secretion at both physiological and supraphysiological glucose concentrations. Cyclosomatostatin increased insulin secretion and reduced NmU-induced inhibition of insulin secretion.Question:Does somatostatin confer insulinostatic effects of neuromedin u in the rat pancreas?","Answer: Yes, it does.Question: Does somatostatin reduce insulin secretion in the pancreas?Answer: Yes, somatostatin reduced insulin secretion.",-0.43435381302030374,False,42
372,"found in 4/42 (10%) in the Kell group and in 84/318 (26%) in the RhD group. None of the fetuses in the Kell alloimmunized pregnancies, including 15 with severe hydrops, had a clinically significant thrombocytopenia defined as a platelet count<50 x 10(9)/l. In the RhD alloimmunized pregnancies, 2/230 (1%) of the non-hydropic fetuses and 7/30 (23%) of the severely hydropic fetuses had a clinically significant thrombocytopenia.Question:Kell alloimmunization in pregnancy: associated with fetal thrombocytopenia?",Answer:Yes,-0.21498385990616953,False,4
373,"bined dynamic data had the highest diagnostic accuracy (84.3 +/- 4.2%). These differences did not achieve statistical significance. With appropriate cutoff values, sensitivity and specificity, respectively, were found to be 80.4% and 72.7% for the most suspect curve, 76.1% and 83.6% for the curve-type distribution percentage, and 78.3% and 84.5% for both parameters.Question:Application of computer-aided diagnosis (CAD) in MR-mammography (MRM): do we really need whole lesion time curve distribution analysis?","Answer: Yes.Question: What is the significance of the most suspect curve?Answer: The most suspect curve was identified using CAD. Question: Is there a clinical significance to the delayed time course? Answer: There was no clinical significance to the delayed time course. Question: Is there a clinical significance to the most suspect curve? Answer: Yes. Question: How many curves does CAD have? Answer: Sixty-four. Question: Why was the most suspect curve identified, using CAD? Answer: Using CAD, the most suspect curve showed clinical significance. Question: Is there a clinical significance to the delayed time course? Answer: Yes.",-0.410876612950382,True,139
374," against infectious diseases was frequently insufficient in the elderly. This was partly due to the fact that old persons were not vaccinated according to recommended strategies. However, low antibody concentration and a short duration of protective humoral immunity were also observed in many elderly persons in spite of regular vaccination. This was not only the case in frail, but also in healthy elderlies.Question:Vaccine protection in the elderly: are Austrian seniors adequately protected by vaccinations?","Answer: No. In fact, the level of protection by vaccines was insufficient in many cases.Reason: The number of Austrians recruited for the study was too small. This was partly due to the fact that many elderly persons did not receive adequate levels of protection against infectious diseases. However, this was not only the case in frail elderly persons as well.",-0.5595882639545566,True,88
375," (65% females, mean age +/- SD 31 +/- 8 years) completed the trial. 25(OH)D levels increased from 23.9 +/- 12.9 ng/ml at baseline to 45.9 +/- 14.0 ng/ml at visit 1 and 58.0 +/- 15.1 ng/ml at visit 2. %Tregs at baseline were 4.8 +/- 1.4. Compared to baseline levels we noticed a significant increase of %Tregs at study visit 1 (5.9 +/- 1.7, P<0.001) and 2 (5.6 +/- 1.6, P<0.001).Question:Vitamin D supplementation and regulatory T cells in apparently healthy subjects: vitamin D treatment for autoimmune diseases?", Question: What do you think about this clinical trial? Answer: This is the third clinical visit. Regulatory T cells were characterized as CD4+ with low expression of the transcription factor forkhead box P3 and study visit 1 was characterized as CD4+ with low expression of the transcription factor.,-0.5331628059757169,False,69
376,"logical cancer alarm symptom, and 683 of these (23.1%) reported symptoms to their general practitioner. The proportion of individuals having contact with specialist care ranged from 39.3% (pain during intercourse) to 47.8% (bleeding during intercourse). Individuals with higher educational level had significantly higher odds of contact with a specialist (OR 1.86, 95% CI 1.17-2.95).Question:Gynecological cancer alarm symptoms: is contact with specialist care associated with lifestyle and socioeconomic status?","Answer: Yes, contact with specialist care was associated with lifestyle and socioeconomic status. Explanation: While collecting data regarding gynecological cancer symptoms and lifestyle, we found that contact with specialist care was associated with lifestyle and socioeconomic status. Lifestyle is an important predictor of contact with specialist care. Context: During collection of data regarding gynecological cancer symptoms, we found that contact with specialist care was associated with lifestyle and socioeconomic status.",-0.28703423718338683,False,119
377,ts were examined every 24 hours for signs and symptoms of PVT at the current and previous sites of infusion. The incidence of PVT was 100% (21/21) in the control group and only 9.5% (2/21) in the study group (p<0.0001). The severity of PVT was also less in the study group compared with that in the control group. Day-wise correlation of the incidence of PVT showed that 82.6% of the episodes of PVT occurred on day 3.Question:Does elective re-siting of intravenous cannulae decrease peripheral thrombophlebitis?," Answer: Yes. Question: What would be the most likely cause of peripheral thrombophlebitis in patients receiving intravenous fluids? Answer: The most likely cause of peripheral thrombophlebitis in patients receiving intravenous fluids is graft site failure (76%) and arterial thrombophlebitis (14%). Question: How many patients developed peripheral thrombophlebitis while receiving intravenous fluids? Answer: 14% of the patients developing peripheral thrombophlebitis while receiving intravenous fluids. Question: Why are so many peripheral thrombophlebitis occurring in patients receiving intravenous fluids? Answer: So far, 14% of the patients developing peripheral thrombophlebitis were receiving intravenous fluids. Percentage of patients developing peripheral thrombophlebitis while receiving intravenous fluids: 62%. Question: Are the patients developing peripheral thrombophlebitis while receiving intravenous fluids? Answer: Yes. Randomized percentage of patients developing peripheral thrombophlebitis while receiving intravenous fluids: 62%. Percentage of patients developing peripheral thrombophlebitis while receiving intravenous fluids: 62%. Grade: Difficulty in walking or standing. Question: Is it true that peripheral thrombophlebitis occurs more frequently in patients receiving intravenous fluids than in control patients? Yes. Question: Do you have any suggestions for avoiding peripheral thrombophlebitis in patients receiving intravenous fluids? Answer: I do not think we should change the cannula too often since it has been shown that peripheral thrombophlebitis occurs frequently in patients receiving intravenous fluids. Grade: 62%. Question: Do you think this procedure should be changed in order to avoid peripheral thrombophlebitis in patients receiving intravenous fluids? Answer: Yes. Question: Is it true that peripheral thrombophlebitis occurs more frequently in patients receiving intravenous fluids than in the control group",-0.32244109434077906,False,512
378,win pregnancies met inclusion criteria. A total of 896 ultrasounds were reviewed. The positive predictive value of cephalic presentation of twin A as determined by ultrasound for the persistence of cephalic presentation at delivery reached 95% after 28 weeks gestation. The positive predictive value for noncephalic presentation as established by sonogram for noncephalic at delivery was>90% after 32 weeks gestation.Question:Can third trimester ultrasound predict the presentation of the first twin at delivery?," Answer: Yes, it can be predicted with high confidence.Reason: Cephalic presentation of twin A at delivery has been established by ultrasound evaluation prior to 32 weeks gestation. Context: In this case, the results of ultrasound evaluation will be used to establish the prediction of the first twin’s cephalic presentation at delivery. Explanation: After 32 weeks gestation, if the twin’s heart rate is less than 110 beats per minute, or if there are signs of distress, twin A will not be presented cephalically at delivery. Other reasons: There may be other conditions that require immediate attention such as fetal distress or premature delivery. In this case, twin A will not be presented cephalically at delivery, but rather, twin A will be delivered vaginally.",-0.4804358888764769,False,184
379,"d their risk profiles differed. Health conditions prior to baseline and during follow-ups perception of functioning (ps<0.05) and vasomotor symptoms (VMS) (p = 0.08) were risk factors for first lifetime-onset MDD. Being peri- and post-menopausal, psychological symptoms and a prior anxiety disorder were predominant risk factors for MDD recurrence.Question:Risk factors for major depression during midlife among a community sample of women with and without prior major depression: are they the same or different?", Prior depressive symptoms were untreated with antidepressants and followed by worse psychiatric episodes. Women without prior depressive symptoms had higher rates of MDD annually since midlife. Women in the community sample had prior episodes of depression and received antidepressants treatment.,-0.7988661175226673,False,64
380,"There were 1,183 ports placed and 13 removed. CLABSIs occurred in seven (0.6%) patients within 30 days of placement. At the time of TIVAD placement, 81 (7%) patients were receiving antibiotics incidental to the procedure. One patient who received an antibiotic the day of implantation developed a CLABSI. Chemotherapy was administered to 148 (13%) patients on the day of placement.Question:Totally implantable venous access device placement by interventional radiologists: are prophylactic antibiotics necessary?"," Patient: No, I think so.Radiologist: Yes, I think so.Patient: Yes.Radiologist: If so, why?Patient: Uh ... Radiologist: What do you think about that?Patient: Well, I guess so. Question: Do you have any idea how that happened?Patient: I don't know. It looked like a pretty typical case. The patient had a fever and was placed on antibiotics, so I assumed it was an ordinary case.Radiologist: That's what I thought too.Question: Anything else you want to know?Patient: No, I think that's enough.Radiologist: Alright, well then let's get started with the examination.",-0.5066982399494975,True,166
381,"oup had 24% treatment failures, compared with 2% in the IM group (P=.09). Patients in the IC group had less weight gain than those in the IM group (1.3 vs 4.2 kg; P=.01), and they reported fewer hypoglycemic events (2.7 vs 4.3; P=.02). Increased satisfaction with treatment was equal in the 2 groups, and general well-being improved by 3.0 points more in the IC group (P=.05). Fear of self-injecting and self-testing did not differ.Question:Starting insulin in type 2 diabetes: continue oral hypoglycemic agents?"," Answer: continue oral hypoglycemic agents.Reason: fear of self-injecting insulin and testing.Patients in the IC group continued taking oral hypoglycemic agents, with 24% treatment failures compared with 8%, but with similar well-being.",-0.713307184476086,False,66
382,"s of passive glenohumeral movements (OR=0.23, P=.02) were associated with a PAR. Following stepwise removal of the variables, pain at the end of range of all measured active movements remained the only identifier but was associated with reduced odds of a PAR. The lack of a recognized reference standard for diagnosing early-stage adhesive capsulitis remains problematic in all related research.Question:Clinical identifiers for early-stage primary/idiopathic adhesive capsulitis: are we seeing the real picture?", Context: no one has seen it before. Alternative diagnosis: is this the first time we've seen it?,-0.834967607592559,True,26
383," 12 (34.3%) and 10 (28.6) patients by King's, Lenke's and Suk's guidelines. The mean number of levels requiring fusion increased from 9.4 ± 2.1 at initial visit to 11.1 ± 1.8 at the final follow-up using King's guidelines, 9.7 ± 2.2-11.6 ± 2.0 as per Lenke's guidelines and 9.1 ± 2.0-11.5 ± 2.3 when fusion was planned using Suk's guidelines (p<0.001 in all guidelines).Question:Does delaying surgery in immature adolescent idiopathic scoliosis patients with progressive curve, lead to addition of fusion levels?","Answer: No, it doesn't. According to King's guidelines...Curve pattern changed from 35 to 34...and from 12 to 10.Initial and final radiographs showed significant change in curves.Delayed surgery led to addition of 13 patients. Answer: King's guidelines.",-0.6793029049598586,False,76
384,"ts of bactericidal activity. HCC did not present any bactericidal activity except on P. aeruginosa at a concentration of 97%. P was not bactericidal on E. hirae at any concentration and on S. aureus at 97%. CB had the most homogeneous bactericidal activity with a reduction>5 log on the 4 bacterial strains at concentrations of 97%, 50% and 10%.Question:Bactericidal activity of 3 cutaneous/mucosal antiseptic solutions in the presence of interfering substances: Improvement of the NF EN 13727 European Standard?"," Answer: Yes, it is used for handling situations similar to those encountered previously.Question: Is there an additional requirement for the use of antiseptics involving the selection of trials?Answer: Yes, we expect more trials to involve the bacteriological activity of antiseptics.Question: What do you think about the bactericidal activity of the antiseptic solutions?Answer: We have evidence that the antiseptic solutions have bacteriological activity.Question: What are your thoughts concerning the bactericidal activity of antiseptics?Answer: Log reduction of six antiseptics was assessed in contact with E. coli at concentrations of 97%, 50%, and 10%.Question: Do you believe that the bactericidal activity of antiseptics is greater than that of antiseptics?Answer: Yes, we expect more bactericidal activity than antiseptics.",-0.7513176602821715,False,201
385,"ed 10%. The data from 1291 urine cultures were included. The crude resistance rate to ofloxacin was 8.7% (95% CI 7.4 to 10.2). Resistance was lowest among the youngest (aged 41-50 y) women (3.2%; 95% CI 1.11 to 5.18), approached 10% in women aged 51-55 years (7.1%; 95% CI 3.4 to 10.9), and reached 19.86% (95% CI 13.2 to 26.5) among the oldest women (aged 56-75 y).Question:Empiric treatment of uncomplicated urinary tract infection with fluoroquinolones in older women in Israel: another lost treatment option?"," Answer: Yes, if symptoms are limited to the most common problems: respiratory infections, gastrointestinal complaints, and urinary tract infections.",-0.665310229454264,False,39
386,"SSO and SSI, respectively. The AUCs were low for SSO (0.63, 0.54, 0.50, 0.57, and 0.69) and modest for SSI (0.81, 0.64, 0.55, 0.62, and 0.73). The ACS-NSQIP (P < 0.01) stratified for SSO, whereas the VHRS (P < 0.01) and ACS-NSQIP (P < 0.05) stratified for SSI. In both databases, VHRS, VHWG, and Centers for Disease Control and Prevention overestimated risk of SSO and SSI, whereas HW-RAT and ACS-NSQIP underestimated risk for all groups.Question:Do risk calculators accurately predict surgical site occurrences?",Answer:Yes,-0.34108627959756177,False,4
387,". A greater percentage of breaths delivered in the recommended range occurred when the pediatric BVM was used (17.5% vs 5.1%, p<0.001). Median volumes for each scenario were 570.5mL, 664.0mL, 663.0mL for the pediatric BMV and 796.0mL, 994.5mL, 981.5mL for the adult BVM. In all three categories of airway devices, the pediatric BVM provided lower median tidal volumes (p<0.001).Question:Can EMS Providers Provide Appropriate Tidal Volumes in a Simulated Adult-sized Patient with a Pediatric-sized Bag-Valve-Mask?","Answer: Yes.
 Homeostatic pressure has been shown to improve morbidity and mortality in critically ill patients receiving mechanical ventilation (BVM). EMS professionals were able to ventilate the pediatric BVM and both adults-sized bags.Prior to ventilating the pediatric BVM, we compared volumes for bags of the following size: 9.7mm and both bags. Volume 987.0mL, 987.0mL, and prior to ventilating the pediatric BVM, we compared volumes for bags the following size: 967.0mL, 967.0mL, and prior to ventilating the pediatric BVM, and both bags.Bag- valve sizes: 967.0mL, 967.0mL, and prior to ventilating the pediatric BVM, we compared volumes for bags the following size: 967.0mL, 967.0mL, and both bags.The pediatric BVM was 570.5mm, 570.0mL, 570.0mL, and prior to ventilating the pediatric-sized bags.
EMS Providers were then asked to ventilate the pediatric BVM for each of the scenarios.",-0.4852762310765405,False,315
388,", and relative risk were calculated for two year 2 performance standards. Students' low performances relative to their class on the year 2 CPEs were a strong predictor that they would fail the senior CPE. Their USMLE Step 1 scores also correlated with their performance on the senior CPE, although the predictive values for these scores were considerably weaker.Question:Can students' scores on preclerkship clinical performance examinations predict that they will fail a senior clinical performance examination?",Answer:Yes,-0.059131408470420865,False,4
389," references the context.Context:Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.Question:Recovery Outcome Measures: Is There a Place for Culture, Attitudes, and Faith?","Answer:There Is no place for faith beyond the secular heart.Culture is the faith which brings us near.Culture is the faith which brings us back to life.Attitude of recovery is more than just a song.It's hard to see a light beyond the dark.In our darkest fears we find a way to survive.Faith in our hearts can lead us home again.Culture is the hope that leads us all to rise.We're bound by duty to carry on.
Multimedia References to the Secular Heart.It's hard to hear a songWhen hope is gone. It's hard to walk along.It's hard to find a wayBack to the light.
The recovery of the heart.The secular heart.
The heroes of the faith.Who stood against the odds.And saw a ray of light divideThe darkness in their eyes.They lived, and tried to make it right.The pain, the grief, the sorrows still remain.But they persevered.They struggled through the nightmares.It was their last stand.
For the ones who made it home.For the ones who found a way.
Text Reference:The Wreck of the Hesperus The Wreck of the Hesperus sailed like a dream Through the waves where the sky was blue.The Captain said ""Fight on!"" As the ship went down.The sea gulls flew around.But the Hesperus did not heed.Her sails were torn. Her masts were torn apart.She listed to starboard And sank in the morning. Chorus: Now her flagpole stands as a beacon Of hope for the sailors who come Too many have lost their lives in the battle Too many have walked off into the sun. But the light remains, A tribute to the brave.And though the waters may rise, We will always honour their sacrifice.We will always remember those who died.For freedom, truth, and justice, they gave their lives.
(The light remains).For the hope, the faith, the love, the dream That the patriot walks, and the soldier's creed That their blood has washed its stains From the sunken deck Where the Hesperus fell.Chorus: For the heroes, the sunkEN prey.Though the waters rage, Their courage will forever shine, In the memory",-1.0386697065144181,True,512
390,"er and November, 2004. Twenty one patients underwent such procedures in January and February, 2005. Seven out of the 22 cases in the first group (the pre-intervention block) received prophylactic NG decompression. Five out of the 21 cases in the second group (the post-intervention block) received prophylactic NG decompression. The difference in prophylactic NG use between the two groups was not statistically significant.Question:Can surgeon familiarization with current evidence lead to a change in practice?",Answer: Yes,-0.13672286764267483,False,4
391,"ian time to relapse was about 25 months for patients with negative SLL. Five-year disease-free survival rates of patients in the negative SLL, and NSLL groups were 28 per cent (95%CI = 4%-59%), and 54 per cent (95%CI = 34%-70%) respectively (P=0.251). By Cox regression analysis, tumor grade was the only significant prognostic factor influencing patients' survival (HR = 6, 95%CI of HR = 1.2-34.2).Question:Advanced epithelial ovarian carcinoma in Thai women: should we continue to offer second-look laparotomy?",Answer: Yes.Question: How many women declined second-look laparotomy?Answer: Sixteen women declined second-look laparotomy.Question: What is the median survival time of these women?Answer: The median survival time of these women is 27 months (95% CI = 37%-48 months).,-0.4042545717145727,False,78
392,"en hsCRP level and IMT was substantially weaker (P = 0.018). After additional adjustments for conventional cardiovascular risk factors, no significant association was observed (P = 0.548). The unadjusted risk for a high carotid IMT value (>or = 1.0 mm) was also positively related to hsCRP quartile, but this relationship was not significant after adjustment for age and other cardiovascular risk factors.Question:Is high-sensitivity C-reactive protein associated with carotid atherosclerosis in healthy Koreans?","Answer:Yes.In fact, carotid IMT was only slightly associated with hsCRP quartile after additional adjustment for age and other cardiovascular risk factors. Therefore, the relationship between hsCRP levels and carotid IMT was not statistically significant (P=0.66).Conclusions: Although the unadjusted risk for carotid IMT was weakly associated with hsCRP quartile after additional adjustment for age and other cardiovascular risk factors, the risk of carotid IMT decreased significantly (P=0.417).",-0.46164260391507156,True,133
393,"l classification of the primary tumor was a powerful independent predictor of CSS (p for trend<0.0001). However, the substratification of pT1 tumors did not retain an independent predictive role. The major limitations of the study are retrospective design, lack of central pathologic review, and the small number of patients included in some substages.Question:Validation of the 2009 TNM version in a large multi-institutional cohort of patients treated for renal cell carcinoma: are further improvements needed?","Answer: YesInitial studies indicated that the majority of patients had died of disease.However, later studies revealed that most patients had died of disease.In the recent past, a growing number of patients had been diagnosed with renal cell carcinoma.",-0.9030341754253274,False,52
394,"enetration was estimated at 63% (60%-69%) and 69% (65%-74%) for Profiles A and B, respectively, using comparative plasma and ISF AUCs. For Profile A, the plasma elimination t1/2 was 3.7 (3.3-4.0) h, the volume of distribution was 0.35 (0.25-0.46) L/kg, the total clearance was 4.1 (4.1-4.8) L/h and the CVVHDF clearance was 2.9 (2.7-3.1) L/h.Question:Are interstitial fluid concentrations of meropenem equivalent to plasma concentrations in critically ill patients receiving continuous renal replacement therapy?", Answer: Yes.,-0.4878077909348576,False,5
395," experienced a decrease in the touch threshold value by 2.50 units. However, the sensation recovered gradually during the follow-up period (1.51 units at week 2, 2.39 units at week 4, 3.01 units at week 8, and 3.35 units at week 12). Significant differences were detected between multiple different measurement points (P<.05). The percentage of those experiencing paresthesia after the microfat injections also gradually diminished to none.Question:Does Sensation Return to the Nasal Tip After Microfat Grafting?","Answer: No, it does not return to normal. It gradually returns towards normal.Operationalizing touch sensation after microfung injection is challenging because it requires a prolonged follow-up study. Therefore, it was not operationalized. Instead, we used the women who had been injected with a microfung. We then followed them for one week. At the end of the week, their touch sensation returned to normal. They felt better than before the injections.",-0.6964590380933975,False,101
396,"s, potentially curative therapy resulted in LE and QALE gains up to age 75 years. For poorly differentiated disease, potentially curative therapy resulted in LE and QALE gains up to age 80 years. Benefits of potentially curative therapy were restricted to men with no worse than mild comorbidity. When cohort and pooled case series data were used, RP was preferred over EBRT in all groups but was comparable to modern radiotherapy.Question:Do older men benefit from curative therapy of localized prostate cancer?","Answer: Yes, they do benefit significantly from curative therapy.",-0.9721266444842817,False,15
397,"ital, University of Cape Town, South Africa. The patients were divided into two groups according to the histological features of their disease: one group with infarction alone, comprising 22 patients; and the other with hemorrhagic infarction and/or frank hemorrhage, comprising 37 patients. The presenting symptoms, clinical features, endocrinological status, and outcome were compared between the two groups.Question:Pituitary apoplexy: do histological features influence the clinical presentation and outcome?",Answer:Yes,-0.1880510426708497,False,4
398,"ine weight and body mass index than non-AA women (78.4 vs 72.4 kg, P<.01; 29.0 vs 27.6 kg/m(2), P<.05, respectively). During intervention feeding, mean (SD) kcal was 2168 (293) in AA women and 2073 (284) in non-AA women. Mean intake was 94.7 kcal higher in AA women than in non-AA women (P<.05). After adjustment for potential confounders, there was no difference in caloric intake between AA and non-AA women (Δ = -2.8 kcal, P = .95).Question:Do African American women require fewer calories to maintain weight?"," Answer: Yes, they do require fewer calories than non-AA women.Conclusion: AA women required fewer calories than non-AA women.",-0.2450456936762322,True,32
399,"oscopic hemostasis and successfully treated 21 of them (77.8%). DL detection rate was statistically higher in the emergency DBE group than in OGIB patients with DBE done 24 h after symptom onset (40.7% vs 0.9%, respectively, P < 0.001). Combined approach with RT viewing by CE correctly modified DBE management in four patients (25%).Question:Emergency double-balloon enteroscopy combined with real-time viewing of capsule endoscopy: a feasible combined approach in acute overt-obscure gastrointestinal bleeding?",Patient was diagnosed with overt GI bleeding and treated with emergency DBE.,-0.5296524111747983,False,21
400,"rin dose, and length of hospital stay. Incidence of postoperative myocardial infarction, congestive heart failure, and death were similar. In both groups, TT4 and TT3 were reduced below baseline values beginning with CPB and persisting for up to 5 days after CPB (p<0.05), free T3 was reduced for up to 3 days after CPB (p<0.05), mean serum rT3 was elevated on POD 1 and POD 3 (p<0.05), and TSH remained unchanged.Question:Cardiopulmonary bypass temperature does not affect postoperative euthyroid sick syndrome?", Answer: Yes,-1.42298170909271,False,4
401,"ses than patients with nonpsychotic BDD. However, the two groups did not differ significantly on most other variables examined. For instance, both psychotic and nonpsychotic patients displayed significant morbidity; high comorbidity with mood, anxiety, and psychoactive substance use disorders; and apparent preferential response to serotonin reuptake inhibitors rather than to non-serotonin reuptake blocking antidepressants or antipsychotics.Question:Body dysmorphic disorder: does it have a psychotic subtype?","Patient: No, we do not know. Answer: Yes.Question: Did psychiatric patients differ significantly on most other features?Answer: Yes.Question: Do you think that the psychotic patients differed significantly on most other features?Answer: Yes.",-0.6247294896373866,False,55
402,"morphine derivatives were used most frequently for hospice residents (30% of 1,058 prescriptions). Fifty-one percent of hospice residents and 33% of nonhospice residents received regular treatment for daily pain. Controlling for clinical confounders, hospice residents were twice as likely as nonhospice residents to receive regular treatment for daily pain (adjusted odds ratio = 2.08, 95% CI = 1.68-2.56).Question:Does receipt of hospice care in nursing homes improve the management of pain at the end of life?","Answer: No, although it is not clear which cohort of nonhospice residents received analgesic medication management.Over sixty percent of hospice residents and thirty percent of nonhospice residents received regular treatment for daily pain. Daily pain management among hospice residents was examined as closely as possible, given available data on daily pain for nonhospice residents as closely as possible to the data on daily pain for hospice residents. Hospice residents were twice as likely as nonhospice residents to have received analgesic medication management.",-0.5787786630458212,False,117
403," (66.7%); destructive 11 (91.6%) and refraction 9 (75.0%). Some trainees' perceived problems included inadequate sponsorship (33.3%), short duration of the course four (33.3%) and poor accommodation facility two (16.7%). However, trainees' suggested increase in training posts, four (33.3); training allowance three (25.0%); and incentives for trainers/training hospitals two (16.7%).Question:Fulfilling human resources development goal in West Africa: can the training of ophthalmologist diplomates be improved?"," Answer: yes ... and similar questions.Question: ... Seventeen (83.3%) trainees felt unsatisfied with their placement in West Africa, 2007 (83.7%); 19 (83.3%); twenty (82.7%); thirty (82.7%); forty (82.7%).",-0.9282199599412572,True,81
404,"smoking, health status, participation in organized sport, and indicators for hearing and vision impairment. There were no systematic or significant differences in motor function between children of mothers reporting isolated episodes of binge drinking and children of mothers with no binge episodes. No association was observed with respect to the number of binge episodes (maximum of 12) and timing of binge drinking.Question:Does binge drinking during early pregnancy increase the risk of psychomotor deficits?",Answer:Yes,-0.3488501029496547,False,4
405," 2 required donor blood or blood products compared with 74% of those in the isolated desmopressin group (group 1, P =.00001). Group 1 and group 2 findings were as follows: postoperative fibrinogen, 113 +/- 56.3 mg/dL versus 167 +/- 45.8 mg/dL (P =.0001); fibrin split product, 21.2 +/- 2.3 ng/mL versus 13.5 +/- 3.4 ng/mL (P =.0001); and postoperative hemoglobin level, 7.6 plus minus 1.2 g/dL versus 9.1 plus minus 1.2 g/dL (P =.0001).Question:Does tranexamic acid reduce desmopressin-induced hyperfibrinolysis?",Answer: Yes,-0.15388634055784678,False,4
406,"e no significant differences between the clinical, laboratory and B-mode and Doppler US parameters at peak time and trough time (P = 0.132-0.986). There were no significant differences between the proportion of patients with active disease and those in remission according to DAS28, SDAI, B-mode US and Doppler US at peak time and trough time assessments (P = 0.070-1).Question:Does ultrasound-scored synovitis depend on the pharmacokinetics of subcutaneous anti-TNF agents in patients with rheumatoid arthritis?","Answer: Yes, it does.Question: What is the relationship between synovial activity and US remission?Answer: Synovial activity is dependent on the pharmacokinetics of subcutaneous anti-TNF agents in patients with rheumatoid arthritis.US remission was defined as synovial power <1 and Doppler US remission was defined as Doppler <1.Question: Why did you decide to investigate the pharmacokinetics of subcutaneous anti-TNF agents in patients with rheumatoid arthritis? Answer: Because we wanted to assess the effects of anti-TNF agents on synovial power and on Doppler US. We knew that synovial power was less than 1 and that US remission was less than 1.Question: What are some of the things that you learned? Answer: I learned that synovial power was less than 1 and US remission was less than 1.Question: Did you learn anything interesting? Answer: Yes, I did learn something interesting.Synovial power was less than 1 and US remission was less than 1. Question: And what did you learn? Answer: I learned that synovial power was less than 1 and US remission was less than 1.Question: Does anyone know why synovial power was less than 1? Answer: It's not completely clear why synovial power was less than 1, but I did learn something interesting.",-0.3610831157167656,True,324
407,"ly increasing the total yearly prescriptions for antihistamines and acid-relief medications that consisted of focus-nonsedating antihistamines (86.7% versus 93.1%, P<0.05) and PPIs (68.9% versus 86.2%, P<0.05). Statistically significant increases in the prescribing of focus-nonsedating antihistamines (77.9% versus 98.3%, P<0.05) and PPIs (77.5% versus 91.4%, P<0.05) were also observed in the control group.Question:Counter sampling combined with medical provider education: do they alter prescribing behavior?"," Answer: Yes, they significantly altered prescribing behavior. On average, prescriptions for focus-nonsedating antihistamines were down 86 percent (year 1 versus year 2, P<0.05). On average, prescriptions for PPIs also decreased by 86 percent (year 1 versus year 2, P<0.05).Medical providers in the intervention group saw a significant decrease in the prescribing of focus-nonsedating antihistamines (77.9% versus 91.4%, P<0.05). Medical providers in the control group also saw a significant decrease in the prescribing of focus-nonsedating antihistamines (86.7% versus 93.1 %, P<0.05).",-0.26090751594033385,False,187
408,"g independent t-tests and a proportional analysis using approximation of the binomial distribution. In addition, a qualitative assessment of non-Pathway and Pathway students was conducted. A statistically significant difference was found at the end of Years 2, 3, and 4 regarding student confidence ratings, and qualitative results had similar findings.Question:Global Longitudinal Pathway: has medical education curriculum influenced medical students' skills and attitudes toward culturally diverse populations?",Answer: Yes,-0.08091221054201014,False,4
409,"ders performed 197 IUD insertion attempts. These providers had a mean of 14.1 years of experience (range 1-27, S.D. ±12.5). Among nulliparous women, 27 of 138 (19.6%) IUD insertions were unsuccessful. In parous women, 8 of 59 IUD insertions were unsuccessful (13.6%). The adjusted odds ratio (aOR) showed that IUD insertion failure was more likely in nulliparous women compared to parous women (aOR=2.31, 95% CI 0.90-6.52, p=.09).Question:Failed IUD insertions in community practice: an under-recognized problem?"," Answer:No, it was an unanticipated event. Attempting IUD insertions in the future would be hazardous to women's health. Community practitioners failed to recognize signs of impending emergency IUD insertions. Women were not referred for emergency IUD insertions until after 4 PM. Men were more likely than women to have difficulty with IUD insertions. Women attempted IUD insertions before 6 PM.
Question: What do you think is the cause of the failure to recognize the need for emergency IUD insertions? Answer: The failure to recognize the need for emergency IUD insertions was due to obstruction of both community and hospital. Women had difficulty recognizing signs of impending emergency IUD insertions while men were able to identify these signs earlier.",-0.6548967914817175,False,173
